sample	strainID	genus	species	count	count.correct
H2-d13	HAMBI-0006	Pseudomonas	putida	1	1
H2-d13	HAMBI-0097	Acinetobacter	lwoffii	6	1
H2-d13	HAMBI-0105	Agrobacterium	tumefaciens	0	0
H2-d13	HAMBI-0262	Brevundimonas	bullata	0	0
H2-d13	HAMBI-0403	Comamonas	testosteroni	70	588
H2-d13	HAMBI-1279	Hafnia	alvei	32	26
H2-d13	HAMBI-1287	Citrobacter	koseri	4795	2690
H2-d13	HAMBI-1292	Morganella	morganii	44302	27337
H2-d13	HAMBI-1299	Kluyvera	intermedia	42	18
H2-d13	HAMBI-1842	Sphingobium	yanoikuyae	0	0
H2-d13	HAMBI-1896	Sphingobacterium	spiritivorum	1	1
H2-d13	HAMBI-1923	Myroides	odoratus	10	12
H2-d13	HAMBI-1972	Aeromonas	caviae	38942	31396
H2-d13	HAMBI-1977	Pseudomonas	chlororaphis	56500	82122
H2-d13	HAMBI-1988	Chitinophaga	sancti	0	0
H2-d13	HAMBI-2159	Paraburkholderia	caryophylli	1	1
H2-d13	HAMBI-2160	Bordetella	avium	0	0
H2-d13	HAMBI-2164	Cupriavidus	necator	0	0
H2-d13	HAMBI-2443	Paracoccus	denitrificans	0	0
H2-d13	HAMBI-2494	Paraburkholderia	kururiensis	0	0
H2-d13	HAMBI-2659	Stenotrophomonas	maltophilia	1091	1600
H2-d13	HAMBI-2792	Moraxella	canis	0	0
H2-d13	HAMBI-3031	Niabella	yanshanensis	0	0
H2-d13	HAMBI-3237	Microvirga	lotononidis	0	0
H2-d17	HAMBI-0006	Pseudomonas	putida	2	1
H2-d17	HAMBI-0097	Acinetobacter	lwoffii	4	1
H2-d17	HAMBI-0105	Agrobacterium	tumefaciens	0	0
H2-d17	HAMBI-0262	Brevundimonas	bullata	0	0
H2-d17	HAMBI-0403	Comamonas	testosteroni	1	8
H2-d17	HAMBI-1279	Hafnia	alvei	1	1
H2-d17	HAMBI-1287	Citrobacter	koseri	2151	1133
H2-d17	HAMBI-1292	Morganella	morganii	61063	35391
H2-d17	HAMBI-1299	Kluyvera	intermedia	1	0
H2-d17	HAMBI-1842	Sphingobium	yanoikuyae	0	0
H2-d17	HAMBI-1896	Sphingobacterium	spiritivorum	1	1
H2-d17	HAMBI-1923	Myroides	odoratus	1	1
H2-d17	HAMBI-1972	Aeromonas	caviae	3824	2896
H2-d17	HAMBI-1977	Pseudomonas	chlororaphis	75074	102492
H2-d17	HAMBI-1988	Chitinophaga	sancti	0	0
H2-d17	HAMBI-2159	Paraburkholderia	caryophylli	0	0
H2-d17	HAMBI-2160	Bordetella	avium	0	0
H2-d17	HAMBI-2164	Cupriavidus	necator	0	0
H2-d17	HAMBI-2443	Paracoccus	denitrificans	0	0
H2-d17	HAMBI-2494	Paraburkholderia	kururiensis	0	0
H2-d17	HAMBI-2659	Stenotrophomonas	maltophilia	522	719
H2-d17	HAMBI-2792	Moraxella	canis	0	0
H2-d17	HAMBI-3031	Niabella	yanshanensis	0	0
H2-d17	HAMBI-3237	Microvirga	lotononidis	0	0
H2-d21	HAMBI-0006	Pseudomonas	putida	0	0
H2-d21	HAMBI-0097	Acinetobacter	lwoffii	0	0
H2-d21	HAMBI-0105	Agrobacterium	tumefaciens	0	0
H2-d21	HAMBI-0262	Brevundimonas	bullata	0	0
H2-d21	HAMBI-0403	Comamonas	testosteroni	1199	8041
H2-d21	HAMBI-1279	Hafnia	alvei	0	0
H2-d21	HAMBI-1287	Citrobacter	koseri	798	357
H2-d21	HAMBI-1292	Morganella	morganii	19006	9359
H2-d21	HAMBI-1299	Kluyvera	intermedia	0	0
H2-d21	HAMBI-1842	Sphingobium	yanoikuyae	0	0
H2-d21	HAMBI-1896	Sphingobacterium	spiritivorum	0	0
H2-d21	HAMBI-1923	Myroides	odoratus	3368	3135
H2-d21	HAMBI-1972	Aeromonas	caviae	29	19
H2-d21	HAMBI-1977	Pseudomonas	chlororaphis	7199	8350
H2-d21	HAMBI-1988	Chitinophaga	sancti	0	0
H2-d21	HAMBI-2159	Paraburkholderia	caryophylli	0	0
H2-d21	HAMBI-2160	Bordetella	avium	0	0
H2-d21	HAMBI-2164	Cupriavidus	necator	0	0
H2-d21	HAMBI-2443	Paracoccus	denitrificans	0	0
H2-d21	HAMBI-2494	Paraburkholderia	kururiensis	0	0
H2-d21	HAMBI-2659	Stenotrophomonas	maltophilia	13743	16081
H2-d21	HAMBI-2792	Moraxella	canis	0	0
H2-d21	HAMBI-3031	Niabella	yanshanensis	0	0
H2-d21	HAMBI-3237	Microvirga	lotononidis	0	0
H2-d29	HAMBI-0006	Pseudomonas	putida	0	0
H2-d29	HAMBI-0097	Acinetobacter	lwoffii	0	0
H2-d29	HAMBI-0105	Agrobacterium	tumefaciens	0	0
H2-d29	HAMBI-0262	Brevundimonas	bullata	0	0
H2-d29	HAMBI-0403	Comamonas	testosteroni	327	2371
H2-d29	HAMBI-1279	Hafnia	alvei	4	3
H2-d29	HAMBI-1287	Citrobacter	koseri	183	89
H2-d29	HAMBI-1292	Morganella	morganii	9148	4870
H2-d29	HAMBI-1299	Kluyvera	intermedia	0	0
H2-d29	HAMBI-1842	Sphingobium	yanoikuyae	0	0
H2-d29	HAMBI-1896	Sphingobacterium	spiritivorum	0	0
H2-d29	HAMBI-1923	Myroides	odoratus	1442	1451
H2-d29	HAMBI-1972	Aeromonas	caviae	5	3
H2-d29	HAMBI-1977	Pseudomonas	chlororaphis	3628	4550
H2-d29	HAMBI-1988	Chitinophaga	sancti	0	0
H2-d29	HAMBI-2159	Paraburkholderia	caryophylli	0	0
H2-d29	HAMBI-2160	Bordetella	avium	0	0
H2-d29	HAMBI-2164	Cupriavidus	necator	0	0
H2-d29	HAMBI-2443	Paracoccus	denitrificans	0	0
H2-d29	HAMBI-2494	Paraburkholderia	kururiensis	0	0
H2-d29	HAMBI-2659	Stenotrophomonas	maltophilia	5280	6680
H2-d29	HAMBI-2792	Moraxella	canis	0	0
H2-d29	HAMBI-3031	Niabella	yanshanensis	0	0
H2-d29	HAMBI-3237	Microvirga	lotononidis	0	0
H2-d45	HAMBI-0006	Pseudomonas	putida	0	0
H2-d45	HAMBI-0097	Acinetobacter	lwoffii	0	0
H2-d45	HAMBI-0105	Agrobacterium	tumefaciens	5	17
H2-d45	HAMBI-0262	Brevundimonas	bullata	0	0
H2-d45	HAMBI-0403	Comamonas	testosteroni	599	4463
H2-d45	HAMBI-1279	Hafnia	alvei	72	51
H2-d45	HAMBI-1287	Citrobacter	koseri	485	241
H2-d45	HAMBI-1292	Morganella	morganii	22195	12143
H2-d45	HAMBI-1299	Kluyvera	intermedia	0	0
H2-d45	HAMBI-1842	Sphingobium	yanoikuyae	0	0
H2-d45	HAMBI-1896	Sphingobacterium	spiritivorum	1	1
H2-d45	HAMBI-1923	Myroides	odoratus	3241	3352
H2-d45	HAMBI-1972	Aeromonas	caviae	60	43
H2-d45	HAMBI-1977	Pseudomonas	chlororaphis	7104	9155
H2-d45	HAMBI-1988	Chitinophaga	sancti	0	0
H2-d45	HAMBI-2159	Paraburkholderia	caryophylli	0	0
