sample	treatment	replicate	day	description
HAMBI2	H	A	0	no predator
HAMBI3	H	B	0	no predator
HAMBI4	H	C	0	no predator
HAMBI5	H	D	0	no predator
HAMBI2	HN	A	0	C elegans
HAMBI3	HN	B	0	C elegans
HAMBI4	HN	C	0	C elegans
HAMBI5	HN	D	0	C elegans
HAMBI2	HNPanc	A	0	C elegans + T thermo
HAMBI3	HNPanc	B	0	C elegans + T thermo
HAMBI4	HNPanc	C	0	C elegans + T thermo
HAMBI5	HNPanc	D	0	C elegans + T thermo
HAMBI2	HNPevo	A	0	C elegans + evo T thermo
HAMBI3	HNPevo	B	0	C elegans + evo T thermo
HAMBI4	HNPevo	C	0	C elegans + evo T thermo
HAMBI5	HNPevo	D	0	C elegans + evo T thermo
HAMBI2	HPanc	A	0	T thermo
HAMBI3	HPanc	B	0	T thermo
HAMBI4	HPanc	C	0	T thermo
HAMBI5	HPanc	D	0	T thermo
HAMBI2	HPevo	A	0	evo T thermo
HAMBI3	HPevo	B	0	evo T thermo
HAMBI4	HPevo	C	0	evo T thermo
HAMBI5	HPevo	D	0	evo T thermo
H2-d5	H	A	5	no predator
H3-d5	H	B	5	no predator
H4-d5	H	C	5	no predator
H5-d5	H	D	5	no predator
HN2-d5	HN	A	5	C elegans
HN3-d5	HN	B	5	C elegans
HN4-d5	HN	C	5	C elegans
HN5-d5	HN	D	5	C elegans
HNPanc2-d5	HNPanc	A	5	C elegans + T thermo
HNPanc3-d5	HNPanc	B	5	C elegans + T thermo
HNPanc4-d5	HNPanc	C	5	C elegans + T thermo
HNPanc5-d5	HNPanc	D	5	C elegans + T thermo
HNPevo2-d5	HNPevo	A	5	C elegans + evo T thermo
HNPevo3-d5	HNPevo	B	5	C elegans + evo T thermo
HNPevo4-d5	HNPevo	C	5	C elegans + evo T thermo
HNPevo5-d5	HNPevo	D	5	C elegans + evo T thermo
HPanc2-d5	HPanc	A	5	T thermo
HPanc3-d5	HPanc	B	5	T thermo
HPanc4-d5	HPanc	C	5	T thermo
HPanc5-d5	HPanc	D	5	T thermo
HPevo2-d5	HPevo	A	5	evo T thermo
HPevo3-d5	HPevo	B	5	evo T thermo
HPevo4-d5	HPevo	C	5	evo T thermo
HPevo5-d5	HPevo	D	5	evo T thermo
H2-d9	H	A	9	no predator
H3-d9	H	B	9	no predator
H4-d9	H	C	9	no predator
H5-d9	H	D	9	no predator
HN2-d9	HN	A	9	C elegans
HN3-d9	HN	B	9	C elegans
HN4-d9	HN	C	9	C elegans
HN5-d9	HN	D	9	C elegans
HNPanc2-d9	HNPanc	A	9	C elegans + T thermo
HNPanc3-d9	HNPanc	B	9	C elegans + T thermo
HNPanc4-d9	HNPanc	C	9	C elegans + T thermo
HNPanc5-d9	HNPanc	D	9	C elegans + T thermo
HNPevo2-d9	HNPevo	A	9	C elegans + evo T thermo
HNPevo3-d9	HNPevo	B	9	C elegans + evo T thermo
HNPevo4-d9	HNPevo	C	9	C elegans + evo T thermo
HNPevo5-d9	HNPevo	D	9	C elegans + evo T thermo
HPanc2-d9	HPanc	A	9	T thermo
HPanc3-d9	HPanc	B	9	T thermo
HPanc4-d9	HPanc	C	9	T thermo
HPanc5-d9	HPanc	D	9	T thermo
HPevo2-d9	HPevo	A	9	evo T thermo
HPevo3-d9	HPevo	B	9	evo T thermo
HPevo4-d9	HPevo	C	9	evo T thermo
HPevo5-d9	HPevo	D	9	evo T thermo
H2-d13	H	A	13	no predator
H3-d13	H	B	13	no predator
H4-d13	H	C	13	no predator
H5-d13	H	D	13	no predator
HN2-d13	HN	A	13	C elegans
HN3-d13	HN	B	13	C elegans
HN4-d13	HN	C	13	C elegans
HN5-d13	HN	D	13	C elegans
HNPanc2-d13	HNPanc	A	13	C elegans + T thermo
HNPanc3-d13	HNPanc	B	13	C elegans + T thermo
HNPanc4-d13	HNPanc	C	13	C elegans + T thermo
HNPanc5-d13	HNPanc	D	13	C elegans + T thermo
HNPevo2-d13	HNPevo	A	13	C elegans + evo T thermo
HNPevo3-d13	HNPevo	B	13	C elegans + evo T thermo
HNPevo4-d13	HNPevo	C	13	C elegans + evo T thermo
HNPevo5-d13	HNPevo	D	13	C elegans + evo T thermo
HPanc2-d13	HPanc	A	13	T thermo
HPanc3-d13	HPanc	B	13	T thermo
HPanc4-d13	HPanc	C	13	T thermo
HPanc5-d13	HPanc	D	13	T thermo
HPevo2-d13	HPevo	A	13	evo T thermo
HPevo3-d13	HPevo	B	13	evo T thermo
HPevo4-d13	HPevo	C	13	evo T thermo
HPevo5-d13	HPevo	D	13	evo T thermo
H2-d17	H	A	17	no predator
H3-d17	H	B	17	no predator
H4-d17	H	C	17	no predator
H5-d17	H	D	17	no predator
HN2-d17	HN	A	17	C elegans
HN3-d17	HN	B	17	C elegans
HN4-d17	HN	C	17	C elegans
HN5-d17	HN	D	17	C elegans
HNPanc2-d17	HNPanc	A	17	C elegans + T thermo
HNPanc3-d17	HNPanc	B	17	C elegans + T thermo
HNPanc4-d17	HNPanc	C	17	C elegans + T thermo
HNPanc5-d17	HNPanc	D	17	C elegans + T thermo
HNPevo2-d17	HNPevo	A	17	C elegans + evo T thermo
HNPevo3-d17	HNPevo	B	17	C elegans + evo T thermo
HNPevo4-d17	HNPevo	C	17	C elegans + evo T thermo
