sample	microcosmID	treatment	replicate	day	cil	wrm	strainID	count	count.correct	lograrecount	log10rab	sflogcount	rlogcount	PA
H2_d0	H_A	H	A	0	0	0	HAMBI-0006	5509	4719	5.723585101952381	-1.3235492329407927	8.596037569448386	8.596037569448386	1
H2_d0	H_A	H	A	0	0	0	HAMBI-0097	10231	4107	5.459585514144159	-1.38386079664964	8.457161034539899	8.457161034539899	1
H2_d0	H_A	H	A	0	0	0	HAMBI-0105	622	3766	5.579729825986222	-1.4214956113716128	8.370500859456552	8.370500859456552	1
H2_d0	H_A	H	A	0	0	0	HAMBI-0262	33	3589	5.332718793265369	-1.4423967829965614	8.3223724631987	8.3223724631987	1
H2_d0	H_A	H	A	0	0	0	HAMBI-0403	302	4106	5.521460917862246	-1.383966528721228	8.456917569885096	8.456917569885096	1
H2_d0	H_A	H	A	0	0	0	HAMBI-1279	3429	4429	5.605802066295998	-1.3510875053518108	8.532626584226445	8.532626584226445	1
H2_d0	H_A	H	A	0	0	0	HAMBI-1287	4694	4261	5.666426688112432	-1.3678777861966973	8.493964398480614	8.493964398480614	1
H2_d0	H_A	H	A	0	0	0	HAMBI-1292	4156	4149	5.645446897643238	-1.3794431348627878	8.467333391067232	8.467333391067232	1
H2_d0	H_A	H	A	0	0	0	HAMBI-1299	6191	4271	5.44673737166631	-1.3668599875543805	8.496308036542876	8.496308036542876	1
H2_d0	H_A	H	A	0	0	0	HAMBI-1842	40828	3524	5.393627546352362	-1.450332110247463	8.304100041563279	8.304100041563279	1
H2_d0	H_A	H	A	0	0	0	HAMBI-1896	2121	4599	5.638354669333745	-1.3347333998933064	8.570284368126934	8.570284368126934	1
H2_d0	H_A	H	A	0	0	0	HAMBI-1923	2220	4190	5.480638923341991	-1.3751735707410362	8.477164726556667	8.477164726556667	1
H2_d0	H_A	H	A	0	0	0	HAMBI-1972	3167	4131	5.602118820879701	-1.3813309187272975	8.462986474142664	8.462986474142664	1
H2_d0	H_A	H	A	0	0	0	HAMBI-1977	1807	4249	5.627621113690637	-1.369102301524569	8.49114476320823	8.49114476320823	1
H2_d0	H_A	H	A	0	0	0	HAMBI-1988	928	4187	5.4680601411351315	-1.3754845585680757	8.476448628812767	8.476448628812767	1
H2_d0	H_A	H	A	0	0	0	HAMBI-2159	2364	3830	5.455321115357702	-1.4141790795918028	8.387348362336251	8.387348362336251	1
H2_d0	H_A	H	A	0	0	0	HAMBI-2160	331	4812	5.697093486505405	-1.315075369897522	8.61554988252891	8.61554988252891	1
H2_d0	H_A	H	A	0	0	0	HAMBI-2164	35	3250	5.337538079701318	-1.4854742620787538	8.223179195765775	8.223179195765775	1
H2_d0	H_A	H	A	0	0	0	HAMBI-2443	381	3773	5.4510384535657	-1.4206893357459678	8.372357440519952	8.372357440519952	1
H2_d0	H_A	H	A	0	0	0	HAMBI-2494	352	4352	5.572154032177765	-1.3587025644174822	8.515091753242517	8.515091753242517	1
H2_d0	H_A	H	A	0	0	0	HAMBI-2659	1125	2669	5.075173815233827	-1.570979970210305	8.026286486076469	8.026286486076469	1
H2_d0	H_A	H	A	0	0	0	HAMBI-2792	4765	4165	5.501258210544727	-1.3777719659631533	8.471181517748931	8.471181517748931	1
H2_d0	H_A	H	A	0	0	0	HAMBI-3031	74	4400	5.560681631015528	-1.3539398630119353	8.526058598202741	8.526058598202741	1
H2_d0	H_A	H	A	0	0	0	HAMBI-3237	3734	5872	5.872117789475416	-1.2286312307319234	8.814599653629916	8.814599653629916	1
H2-d5	H_A	H	A	5	0	0	HAMBI-0006	15722	9223	5.713732805509369	-1.2774357548592195	8.069245866600976	7.892752259300694	1
H2-d5	H_A	H	A	5	0	0	HAMBI-0097	4884	1343	3.9889840465642745	-2.1139557804280558	6.144286363564168	4.172924723179631	1
H2-d5	H_A	H	A	5	0	0	HAMBI-0105	15	62	1.0986122886681098	-3.4430144996922802	3.1121380203715363	3.0803792397036114	1
H2-d5	H_A	H	A	5	0	0	HAMBI-0262	0	0	0	-5.242355049145862	0	-1.3325534455390526	0
H2-d5	H_A	H	A	5	0	0	HAMBI-0403	3738	34808	7.074116816197362	-0.7006635021821739	9.397162642072614	9.398181357392092	1
H2-d5	H_A	H	A	5	0	0	HAMBI-1279	5591	4946	5.198497031265826	-1.548013138781681	7.44639531483026	7.082483834830442	1
H2-d5	H_A	H	A	5	0	0	HAMBI-1287	22909	14241	6.192362489474872	-1.0887840677120821	8.503560328132078	8.433201841025207	1
H2-d5	H_A	H	A	5	0	0	HAMBI-1292	24474	16734	6.391917113392602	-1.018729332452066	8.664847572705206	8.67582005194925	1
H2-d5	H_A	H	A	5	0	0	HAMBI-1299	9056	4279	5.056245805348308	-1.6109112801326901	7.301626440013499	6.939273358959066	1
H2-d5	H_A	H	A	5	0	0	HAMBI-1842	66	4	0	-4.543385044809844	0.8692405742618857	0.23037037495645055	1
H2-d5	H_A	H	A	5	0	0	HAMBI-1896	4	6	0.6931471805599453	-4.3972570091316054	1.1241657631853772	0.7500485080900198	1
