day	date	treatment	replicate	ciliate_count_raw	ciliate_per_ml	worm_count_raw	worm_per_ml	OD
5	2019-02-16	H	1	NA	NA	NA	NA	0.612
5	2019-02-16	H	2	NA	NA	NA	NA	0.626
5	2019-02-16	H	3	NA	NA	NA	NA	0.609
5	2019-02-16	H	4	NA	NA	NA	NA	0.607
5	2019-02-16	H	5	NA	NA	NA	NA	0.606
5	2019-02-16	HN	1	NA	NA	6	120	0.875
5	2019-02-16	HN	2	NA	NA	3	60	0.707
5	2019-02-16	HN	3	NA	NA	5	100	0.761
5	2019-02-16	HN	4	NA	NA	10	200	0.746
5	2019-02-16	HN	5	NA	NA	8	160	0.794
5	2019-02-16	HPanc	1	318	59975	NA	NA	0.359
5	2019-02-16	HPanc	2	354	66764	NA	NA	0.312
5	2019-02-16	HPanc	3	425	80155	NA	NA	0.282
5	2019-02-16	HPanc	4	360	67896	NA	NA	0.305
5	2019-02-16	HPanc	5	457	86190	NA	NA	0.302
5	2019-02-16	HPevo	1	262	49413	NA	NA	0.250
5	2019-02-16	HPevo	2	320	60352	NA	NA	0.258
5	2019-02-16	HPevo	3	307	57900	NA	NA	0.269
5	2019-02-16	HPevo	4	299	56391	NA	NA	0.238
5	2019-02-16	HPevo	5	340	64124	NA	NA	0.231
5	2019-02-16	HNPanc	1	891	168043	2	4	0.285
5	2019-02-16	HNPanc	2	714	134660	0	0	0.291
5	2019-02-16	HNPanc	3	721	135981	0	0	0.295
5	2019-02-16	HNPanc	4	576	108634	2	4	0.284
5	2019-02-16	HNPanc	5	628	118441	1	2	0.286
5	2019-02-16	HNPevo	1	434	81852	0	0	0.285
5	2019-02-16	HNPevo	2	388	73177	0	0	0.274
5	2019-02-16	HNPevo	3	416	78458	1	2	0.278
5	2019-02-16	HNPevo	4	403	76006	0	0	0.275
5	2019-02-16	HNPevo	5	452	85247	0	0	0.284
9	2019-02-20	H	1	NA	NA	NA	NA	0.631
9	2019-02-20	H	2	NA	NA	NA	NA	0.639
9	2019-02-20	H	3	NA	NA	NA	NA	0.637
9	2019-02-20	H	4	NA	NA	NA	NA	0.628
9	2019-02-20	H	5	NA	NA	NA	NA	0.631
9	2019-02-20	HN	1	NA	NA	70	2800	0.510
9	2019-02-20	HN	2	NA	NA	59	2360	0.573
9	2019-02-20	HN	3	NA	NA	32	1280	0.598
9	2019-02-20	HN	4	NA	NA	71	2840	0.551
9	2019-02-20	HN	5	NA	NA	72	2880	0.502
9	2019-02-20	HPanc	1	32	6035	NA	NA	0.331
9	2019-02-20	HPanc	2	27	5092	NA	NA	0.303
9	2019-02-20	HPanc	3	45	8487	NA	NA	0.283
9	2019-02-20	HPanc	4	54	10184	NA	NA	0.335
9	2019-02-20	HPanc	5	48	9053	NA	NA	0.314
9	2019-02-20	HPevo	1	79	14899	NA	NA	0.338
9	2019-02-20	HPevo	2	60	11316	NA	NA	0.321
9	2019-02-20	HPevo	3	64	12070	NA	NA	0.327
9	2019-02-20	HPevo	4	78	14711	NA	NA	0.341
9	2019-02-20	HPevo	5	79	14899	NA	NA	0.347
9	2019-02-20	HNPanc	1	107	20180	2	40	0.283
9	2019-02-20	HNPanc	2	74	13956	10	100	0.339
9	2019-02-20	HNPanc	3	126	23764	5	50	0.294
9	2019-02-20	HNPanc	4	123	23198	4	40	0.324
9	2019-02-20	HNPanc	5	144	27158	5	50	0.320
9	2019-02-20	HNPevo	1	97	18294	7	70	0.296
9	2019-02-20	HNPevo	2	106	19992	15	150	0.302
9	2019-02-20	HNPevo	3	217	40926	14	140	0.310
9	2019-02-20	HNPevo	4	114	21500	7	70	0.284
9	2019-02-20	HNPevo	5	116	21878	9	90	0.286
13	2019-02-24	H	1	NA	NA	NA	NA	0.684
13	2019-02-24	H	2	NA	NA	NA	NA	0.682
13	2019-02-24	H	3	NA	NA	NA	NA	0.685
13	2019-02-24	H	4	NA	NA	NA	NA	0.692
13	2019-02-24	H	5	NA	NA	NA	NA	0.664
13	2019-02-24	HN	1	NA	NA	211	8440	0.137
13	2019-02-24	HN	2	NA	NA	167	6680	0.145
13	2019-02-24	HN	3	NA	NA	125	5000	0.164
13	2019-02-24	HN	4	NA	NA	165	6600	0.134
13	2019-02-24	HN	5	NA	NA	153	6120	0.149
13	2019-02-24	HPanc	1	237	44698	NA	NA	0.237
13	2019-02-24	HPanc	2	244	46018	NA	NA	0.215
13	2019-02-24	HPanc	3	2	377	NA	NA	0.336
13	2019-02-24	HPanc	4	113	21312	NA	NA	0.175
13	2019-02-24	HPanc	5	134	25272	NA	NA	0.158
13	2019-02-24	HPevo	1	238	44887	NA	NA	0.255
13	2019-02-24	HPevo	2	188	35457	NA	NA	0.235
13	2019-02-24	HPevo	3	212	39983	NA	NA	0.227
13	2019-02-24	HPevo	4	168	31685	NA	NA	0.231
13	2019-02-24	HPevo	5	258	48659	NA	NA	0.225
13	2019-02-24	HNPanc	1	29	5469	15	600	0.243
13	2019-02-24	HNPanc	2	15	2829	13	520	0.249
13	2019-02-24	HNPanc	3	26	4904	17	680	0.270
13	2019-02-24	HNPanc	4	35	6601	12	480	0.252
13	2019-02-24	HNPanc	5	36	6790	10	400	0.284
13	2019-02-24	HNPevo	1	64	12070	2	80	0.265
13	2019-02-24	HNPevo	2	29	5469	7	280	0.262
13	2019-02-24	HNPevo	3	57	10750	1	40	0.271
13	2019-02-24	HNPevo	4	118	22255	7	70	0.241
13	2019-02-24	HNPevo	5	75	14145	10	100	0.261
17	2019-02-28	H	1	NA	NA	NA	NA	0.703
17	2019-02-28	H	2	NA	NA	NA	NA	0.718
17	2019-02-28	H	3	NA	NA	NA	NA	0.726
17	2019-02-28	H	4	NA	NA	NA	NA	0.781
17	2019-02-28	H	5	NA	NA	NA	NA	0.771
17	2019-02-28	HN	1	NA	NA	221	7956	0.101
17	2019-02-28	HN	2	NA	NA	222	7992	0.114
17	2019-02-28	HN	3	NA	NA	240	8640	0.105
17	2019-02-28	HN	4	NA	NA	201	7236	0.111
17	2019-02-28	HN	5	NA	NA	288	10368	0.110
17	2019-02-28	HPanc	1	369	69593	NA	NA	0.203
17	2019-02-28	HPanc	2	285	53751	NA	NA	0.208
17	2019-02-28	HPanc	3	348	65633	NA	NA	0.282
17	2019-02-28	HPanc	4	217	40926	NA	NA	0.269
17	2019-02-28	HPanc	5	295	55637	NA	NA	0.233
17	2019-02-28	HPevo	1	327	61672	NA	NA	0.220
17	2019-02-28	HPevo	2	325	61295	NA	NA	0.224
17	2019-02-28	HPevo	3	339	63935	NA	NA	0.176
17	2019-02-28	HPevo	4	263	49602	NA	NA	0.334
17	2019-02-28	HPevo	5	350	66010	NA	NA	0.190
17	2019-02-28	HNPanc	1	9	1697	38	1368	0.212
17	2019-02-28	HNPanc	2	4	754	53	1908	0.237
17	2019-02-28	HNPanc	3	2	377	81	2916	0.185
17	2019-02-28	HNPanc	4	18	3395	78	2808	0.189
17	2019-02-28	HNPanc	5	17	3206	45	1620	0.337
17	2019-02-28	HNPevo	1	263	49602	16	576	0.194
17	2019-02-28	HNPevo	2	149	28101	25	900	0.193
17	2019-02-28	HNPevo	3	156	29422	5	180	0.197
17	2019-02-28	HNPevo	4	107	20180	3	108	0.222
17	2019-02-28	HNPevo	5	266	50168	5	180	0.200
21	2019-03-04	H	1	NA	NA	NA	NA	0.787
21	2019-03-04	H	2	NA	NA	NA	NA	0.803
21	2019-03-04	H	3	NA	NA	NA	NA	0.806
21	2019-03-04	H	4	NA	NA	NA	NA	0.812
21	2019-03-04	H	5	NA	NA	NA	NA	0.809
21	2019-03-04	HN	1	NA	NA	217	8680	0.150
21	2019-03-04	HN	2	NA	NA	121	4840	0.190
21	2019-03-04	HN	3	NA	NA	258	10320	0.145
21	2019-03-04	HN	4	NA	NA	219	8760	0.146
21	2019-03-04	HN	5	NA	NA	188	7520	0.115
21	2019-03-04	HPanc	1	137	25838	NA	NA	0.233
21	2019-03-04	HPanc	2	140	26404	NA	NA	0.252
21	2019-03-04	HPanc	3	267	50356	NA	NA	0.345
21	2019-03-04	HPanc	4	146	27536	NA	NA	0.208
21	2019-03-04	HPanc	5	198	37343	NA	NA	0.175
21	2019-03-04	HPevo	1	145	27347	NA	NA	0.263
21	2019-03-04	HPevo	2	152	28667	NA	NA	0.304
21	2019-03-04	HPevo	3	132	24895	NA	NA	0.240
21	2019-03-04	HPevo	4	197	37154	NA	NA	0.298
21	2019-03-04	HPevo	5	200	37720	NA	NA	0.253
21	2019-03-04	HNPanc	1	0	0	125	5000	0.189
21	2019-03-04	HNPanc	2	0	0	182	7280	0.182
21	2019-03-04	HNPanc	3	0	0	130	5200	0.185
21	2019-03-04	HNPanc	4	0	0	153	6120	0.168
21	2019-03-04	HNPanc	5	0	0	148	5920	0.167
21	2019-03-04	HNPevo	1	113	21312	8	320	0.216
21	2019-03-04	HNPevo	2	70	13202	12	480	0.201
21	2019-03-04	HNPevo	3	209	39417	7	140	0.214
21	2019-03-04	HNPevo	4	137	25838	7	140	0.239
21	2019-03-04	HNPevo	5	224	42246	8	160	0.226
25	2019-03-08	H	1	NA	NA	NA	NA	NA
25	2019-03-08	H	2	NA	NA	NA	NA	NA
25	2019-03-08	H	3	NA	NA	NA	NA	NA
25	2019-03-08	H	4	NA	NA	NA	NA	NA
25	2019-03-08	H	5	NA	NA	NA	NA	NA
25	2019-03-08	HN	1	NA	NA	153	6120	NA
25	2019-03-08	HN	2	NA	NA	172	6880	NA
25	2019-03-08	HN	3	NA	NA	140	5600	NA
25	2019-03-08	HN	4	NA	NA	177	7080	NA
25	2019-03-08	HN	5	NA	NA	183	7320	NA
25	2019-03-08	HPanc	1	251	47339	NA	NA	NA
25	2019-03-08	HPanc	2	210	39606	NA	NA	NA
