sample	strainID	genus	species	count
H2-d13	HAMBI-0006	Pseudomonas	putida	1
H2-d13	HAMBI-0097	Acinetobacter	lwoffii	6
H2-d13	HAMBI-0105	Agrobacterium	tumefaciens	0
H2-d13	HAMBI-0262	Brevundimonas	bullata	0
H2-d13	HAMBI-0403	Comamonas	testosteroni	70
H2-d13	HAMBI-1279	Hafnia	alvei	32
H2-d13	HAMBI-1287	Citrobacter	koseri	4795
H2-d13	HAMBI-1292	Morganella	morganii	44302
H2-d13	HAMBI-1299	Kluyvera	intermedia	42
H2-d13	HAMBI-1842	Sphingobium	yanoikuyae	0
H2-d13	HAMBI-1896	Sphingobacterium	spiritivorum	1
H2-d13	HAMBI-1923	Myroides	odoratus	10
H2-d13	HAMBI-1972	Aeromonas	caviae	38942
H2-d13	HAMBI-1977	Pseudomonas	chlororaphis	56500
H2-d13	HAMBI-1988	Chitinophaga	sancti	0
H2-d13	HAMBI-2159	Paraburkholderia	caryophylli	1
H2-d13	HAMBI-2160	Bordetella	avium	0
H2-d13	HAMBI-2164	Cupriavidus	necator	0
H2-d13	HAMBI-2443	Paracoccus	denitrificans	0
H2-d13	HAMBI-2494	Paraburkholderia	kururiensis	0
H2-d13	HAMBI-2659	Stenotrophomonas	maltophilia	1091
H2-d13	HAMBI-2792	Moraxella	canis	0
H2-d13	HAMBI-3031	Niabella	yanshanensis	0
H2-d13	HAMBI-3237	Microvirga	lotononidis	0
H2-d17	HAMBI-0006	Pseudomonas	putida	2
H2-d17	HAMBI-0097	Acinetobacter	lwoffii	4
H2-d17	HAMBI-0105	Agrobacterium	tumefaciens	0
H2-d17	HAMBI-0262	Brevundimonas	bullata	0
H2-d17	HAMBI-0403	Comamonas	testosteroni	1
H2-d17	HAMBI-1279	Hafnia	alvei	1
H2-d17	HAMBI-1287	Citrobacter	koseri	2151
H2-d17	HAMBI-1292	Morganella	morganii	61063
H2-d17	HAMBI-1299	Kluyvera	intermedia	1
H2-d17	HAMBI-1842	Sphingobium	yanoikuyae	0
H2-d17	HAMBI-1896	Sphingobacterium	spiritivorum	1
H2-d17	HAMBI-1923	Myroides	odoratus	1
H2-d17	HAMBI-1972	Aeromonas	caviae	3824
H2-d17	HAMBI-1977	Pseudomonas	chlororaphis	75074
H2-d17	HAMBI-1988	Chitinophaga	sancti	0
H2-d17	HAMBI-2159	Paraburkholderia	caryophylli	0
H2-d17	HAMBI-2160	Bordetella	avium	0
H2-d17	HAMBI-2164	Cupriavidus	necator	0
H2-d17	HAMBI-2443	Paracoccus	denitrificans	0
H2-d17	HAMBI-2494	Paraburkholderia	kururiensis	0
H2-d17	HAMBI-2659	Stenotrophomonas	maltophilia	522
H2-d17	HAMBI-2792	Moraxella	canis	0
H2-d17	HAMBI-3031	Niabella	yanshanensis	0
H2-d17	HAMBI-3237	Microvirga	lotononidis	0
H2-d21	HAMBI-0006	Pseudomonas	putida	0
H2-d21	HAMBI-0097	Acinetobacter	lwoffii	0
H2-d21	HAMBI-0105	Agrobacterium	tumefaciens	0
H2-d21	HAMBI-0262	Brevundimonas	bullata	0
H2-d21	HAMBI-0403	Comamonas	testosteroni	1199
H2-d21	HAMBI-1279	Hafnia	alvei	0
H2-d21	HAMBI-1287	Citrobacter	koseri	798
H2-d21	HAMBI-1292	Morganella	morganii	19006
H2-d21	HAMBI-1299	Kluyvera	intermedia	0
H2-d21	HAMBI-1842	Sphingobium	yanoikuyae	0
H2-d21	HAMBI-1896	Sphingobacterium	spiritivorum	0
H2-d21	HAMBI-1923	Myroides	odoratus	3368
H2-d21	HAMBI-1972	Aeromonas	caviae	29
H2-d21	HAMBI-1977	Pseudomonas	chlororaphis	7199
H2-d21	HAMBI-1988	Chitinophaga	sancti	0
H2-d21	HAMBI-2159	Paraburkholderia	caryophylli	0
H2-d21	HAMBI-2160	Bordetella	avium	0
H2-d21	HAMBI-2164	Cupriavidus	necator	0
H2-d21	HAMBI-2443	Paracoccus	denitrificans	0
H2-d21	HAMBI-2494	Paraburkholderia	kururiensis	0
H2-d21	HAMBI-2659	Stenotrophomonas	maltophilia	13743
H2-d21	HAMBI-2792	Moraxella	canis	0
H2-d21	HAMBI-3031	Niabella	yanshanensis	0
H2-d21	HAMBI-3237	Microvirga	lotononidis	0
H2-d29	HAMBI-0006	Pseudomonas	putida	0
H2-d29	HAMBI-0097	Acinetobacter	lwoffii	0
H2-d29	HAMBI-0105	Agrobacterium	tumefaciens	0
H2-d29	HAMBI-0262	Brevundimonas	bullata	0
H2-d29	HAMBI-0403	Comamonas	testosteroni	327
H2-d29	HAMBI-1279	Hafnia	alvei	4
H2-d29	HAMBI-1287	Citrobacter	koseri	183
H2-d29	HAMBI-1292	Morganella	morganii	9148
H2-d29	HAMBI-1299	Kluyvera	intermedia	0
H2-d29	HAMBI-1842	Sphingobium	yanoikuyae	0
H2-d29	HAMBI-1896	Sphingobacterium	spiritivorum	0
H2-d29	HAMBI-1923	Myroides	odoratus	1442
H2-d29	HAMBI-1972	Aeromonas	caviae	5
H2-d29	HAMBI-1977	Pseudomonas	chlororaphis	3628
H2-d29	HAMBI-1988	Chitinophaga	sancti	0
H2-d29	HAMBI-2159	Paraburkholderia	caryophylli	0
H2-d29	HAMBI-2160	Bordetella	avium	0
H2-d29	HAMBI-2164	Cupriavidus	necator	0
