strainID	genus	species	H2-d13	H2-d17	H2-d21	H2-d29	H2-d45	H2-d5	H2-d61	H2-d9	H3-d13	H3-d17	H3-d21	H3-d29	H3-d45	H3-d5	H3-d61	H3-d9	H4-d13	H4-d17	H4-d21	H4-d29	H4-d45	H4-d5	H4-d61	H4-d9	H5-d13	H5-d17	H5-d21	H5-d29	H5-d45	H5-d5	H5-d61	H5-d9	HAMBI1	HAMBI2	HAMBI3	HAMBI4	HAMBI5	HN2-d13	HN2-d17	HN2-d21	HN2-d29	HN2-d45	HN2-d5	HN2-d61	HN2-d9	HN3-d13	HN3-d17	HN3-d21	HN3-d29	HN3-d45	HN3-d5	HN3-d61	HN3-d9	HN4-d13	HN4-d17	HN4-d21	HN4-d29	HN4-d45	HN4-d5	HN4-d61	HN4-d9	HN5-d13	HN5-d17	HN5-d21	HN5-d29	HN5-d45	HN5-d5	HN5-d61	HN5-d9	HNPanc2-d13	HNPanc2-d17	HNPanc2-d21	HNPanc2-d29	HNPanc2-d45	HNPanc2-d5	HNPanc2-d61	HNPanc2-d9	HNPanc3-d13	HNPanc3-d17	HNPanc3-d21	HNPanc3-d29	HNPanc3-d45	HNPanc3-d5	HNPanc3-d61	HNPanc3-d9	HNPanc4-d13	HNPanc4-d17	HNPanc4-d21	HNPanc4-d29	HNPanc4-d45	HNPanc4-d5	HNPanc4-d61	HNPanc4-d9	HNPanc5-d13	HNPanc5-d17	HNPanc5-d21	HNPanc5-d29	HNPanc5-d45	HNPanc5-d5	HNPanc5-d61	HNPanc5-d9	HNPevo2-d13	HNPevo2-d17	HNPevo2-d21	HNPevo2-d29	HNPevo2-d45	HNPevo2-d5	HNPevo2-d61	HNPevo2-d9	HNPevo3-d13	HNPevo3-d17	HNPevo3-d21	HNPevo3-d29	HNPevo3-d45	HNPevo3-d5	HNPevo3-d61	HNPevo3-d9	HNPevo4-d13	HNPevo4-d17	HNPevo4-d21	HNPevo4-d29	HNPevo4-d45	HNPevo4-d5	HNPevo4-d61	HNPevo4-d9	HNPevo5-d13	HNPevo5-d17	HNPevo5-d21	HNPevo5-d29	HNPevo5-d45	HNPevo5-d5	HNPevo5-d61	HNPevo5-d9	HPanc2-d13	HPanc2-d17	HPanc2-d21	HPanc2-d29	HPanc2-d45	HPanc2-d5	HPanc2-d61	HPanc2-d9	HPanc3-d13	HPanc3-d17	HPanc3-d21	HPanc3-d29	HPanc3-d45	HPanc3-d5	HPanc3-d61	HPanc3-d9	HPanc4-d13	HPanc4-d17	HPanc4-d21	HPanc4-d29	HPanc4-d45	HPanc4-d5	HPanc4-d61	HPanc4-d9	HPanc5-d13	HPanc5-d17	HPanc5-d21	HPanc5-d29	HPanc5-d45	HPanc5-d5	HPanc5-d61	HPanc5-d9	HPevo2-d13	HPevo2-d17	HPevo2-d21	HPevo2-d29	HPevo2-d45	HPevo2-d5	HPevo2-d61	HPevo2-d9	HPevo3-d13	HPevo3-d17	HPevo3-d21	HPevo3-d29	HPevo3-d45	HPevo3-d5	HPevo3-d61	HPevo3-d9	HPevo4-d13	HPevo4-d17	HPevo4-d21	HPevo4-d29	HPevo4-d45	HPevo4-d5	HPevo4-d61	HPevo4-d9	HPevo5-d13	HPevo5-d17	HPevo5-d21	HPevo5-d29	HPevo5-d45	HPevo5-d5	HPevo5-d61	HPevo5-d9	negCTRL	negCTRL2
HAMBI-0006	Pseudomonas	putida	1	2	0	0	0	15722	0	16	0	3	0	0	0	18193	2	15	0	3	0	0	1	8930	0	20	2	6	0	0	5	5038	0	12	4891	5509	1693	2205	1980	777	0	0	14	182	8801	1	28045	823	0	0	10	151	10348	0	25506	1267	0	0	8	202	9866	0	14753	1426	0	6	7	243	12535	0	9198	1981	0	0	7	0	2634	0	5899	1814	0	9	36	0	2194	0	2203	2367	0	3	9	0	5395	0	2381	2096	0	0	71	0	5106	0	4940	2910	0	0	1	0	2196	0	7593	2037	0	0	0	0	1289	1	11040	1752	1	0	1	0	972	1	19940	757	0	0	0	0	1340	1	29333	22	0	0	0	0	4377	0	169	21	0	1	1	0	6185	0	41	7	0	0	1	0	3731	0	12	14	0	0	1	0	3489	0	73	4	0	0	94	0	1660	0	23	0	0	1	172	0	853	0	19	1	0	0	69	0	271	1	17	3	0	3	437	0	550	0	12	5	309
HAMBI-0097	Acinetobacter	lwoffii	6	4	0	0	0	4884	0	68	7	1	0	0	0	3347	0	62	2	0	0	0	0	2010	0	96	2	0	0	0	0	1416	0	101	10455	10231	4384	4437	4235	65	0	0	0	6	782	0	1219	33	0	0	1	1	662	0	485	83	0	0	0	5	1445	0	470	126	0	0	0	13	715	0	334	14	0	0	0	0	22	0	133	24	0	0	0	0	22	1	37	35	0	0	0	0	56	0	21	15	0	0	0	1	45	0	52	52	0	0	0	0	223	0	139	19	0	0	0	0	170	0	129	22	0	0	0	0	77	0	312	12	0	0	0	0	330	0	251	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	3	0	0	0	0	0	2
HAMBI-0105	Agrobacterium	tumefaciens	0	0	0	0	5	15	0	1	1	0	0	0	2	13	0	1	0	2	0	0	0	3	0	3	0	2	0	0	9	3	0	2	717	622	331	272	281	124	0	490	364	106	248	0	1990	83	0	139	93	20	317	0	1363	286	4	809	464	120	288	0	987	462	1	1124	33	54	387	0	658	906	0	0	19	0	4154	0	1314	1580	0	5	26	529	4542	4	566	2174	0	19	18	1	9175	0	470	1419	0	2	46	0	5679	0	1014	2673	0	0	1	0	2815	0	1544	1959	0	0	6	0	2195	0	1992	1179	3	0	0	0	654	0	2173	905	0	0	0	0	501	0	4002	108	0	0	0	0	3050	0	489	175	0	0	0	0	5058	0	450	153	0	0	0	0	6689	0	291	101	0	0	0	0	4917	0	861	3	0	5	379	0	320	1	190	3	1	3	631	0	362	0	475	11	0	1	373	0	419	0	553	22	0	23	421	0	703	0	784	2	173
HAMBI-0262	Brevundimonas	bullata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	33	18	21	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HAMBI-0403	Comamonas	testosteroni	70	1	1199	327	599	3738	6	568	22	9	561	391	291	1466	3	295	13	5	292	58	14	1037	0	649	13	9	381	831	189	1325	40	694	342	302	97	144	137	751	19004	6308	3328	3367	897	2974	1333	922	10676	3440	1858	1418	716	7095	1299	1705	19872	2081	3786	2090	1483	4425	1049	1754	6111	3115	993	3313	1107	5260	613	7850	600	186	398	7920	1689	3221	2309	10302	634	687	274	19728	1037	3736	806	9667	613	1962	312	21285	2256	4744	607	8704	3131	198	1141	26669	2032	3634	1399	9650	2243	854	213	753	961	808	1814	9466	1066	106	784	366	557	12	2261	4907	2857	343	434	4285	215	111	2864	4353	1674	223	283	446	415	2	3400	487	1	1	2	5479	1654	40	568	1527	4	1	5	3376	1381	403	312	455	4	0	1	2218	2879	325	324	527	0	2	0	420	1935	577	925	64	1771	211	2310	1198	163	31	865	93	2021	177	3780	2057	129	3669	1530	159	4422	243	1526	1012	100	247	1500	193	1758	587	1642	1491	172	2425	1841	8	2364
HAMBI-1279	Hafnia	alvei	32	1	0	4	72	5591	0	256	16	4	1	13	47	4112	0	228	14	2	7	202	16	2776	0	336	12	3	4	131	88	1393	0	381	3255	3429	1367	1389	1205	4	0	1	0	5	1381	1	503	5	0	0	0	0	1803	2	465	7	1	0	0	2	1404	0	268	16	0	0	0	3	2074	1	176	108	0	6	4	0	269	1	130	205	0	6	11	1	383	0	51	226	0	11	11	3	609	0	30	209	0	3	34	1	437	0	112	158	0	14	33	0	161	0	91	116	2	7	162	0	113	0	197	68	2	6	76	0	34	0	214	44	1	7	89	0	67	1	389	851	0	0	1	0	1714	0	1238	2316	0	0	0	0	1631	0	692	214	0	0	0	0	1763	0	446	170	0	0	0	0	1406	0	786	118	0	0	35	0	1411	0	3574	125	1	1	52	0	1087	1	6898	121	0	3	25	0	921	0	4105	197	0	4	13	0	1069	0	4733	0	0
HAMBI-1287	Citrobacter	koseri	4795	2151	798	183	485	22909	0	2268	3098	1718	462	291	430	16478	0	3451	1406	1715	105	209	136	11905	0	6467	655	2703	451	1321	467	6011	7	8268	4647	4694	1970	1950	1779	4331	342	792	818	4007	6555	162	26972	6266	282	458	752	1415	7685	563	27737	6096	518	829	2381	7643	7451	270	16859	10111	178	1674	332	9375	10227	430	9899	4351	328	567	741	499	489	375	1109	6489	387	919	548	1648	514	64	384	7239	344	1968	735	1406	992	77	353	6968	632	883	3525	697	657	340	883	2087	5066	3278	1438	408	172	1277	808	1759	1871	310	3883	509	91	817	1317	909	4851	1056	2231	1017	40	1178	1491	653	2890	821	1637	974	48	464	2663	2862	0	5	48	1279	1809	1116	1556	8164	0	1	77	288	2669	997	830	1233	4	1	90	1374	3204	6398	496	647	1	0	163	441	2027	1073	1069	1197	621	109	1015	1598	1485	1309	5916	1343	1246	139	1531	1011	1369	6114	13514	1549	702	241	1002	875	1455	915	7358	1959	509	343	702	2395	1682	648	6964	9	6828
HAMBI-1292	Morganella	morganii	44302	61063	19006	9148	22195	24474	20150	7902	24771	59696	18036	16863	21563	16410	17071	8741	13745	68574	9714	23068	6008	11173	24531	25351	7776	87443	14299	44163	10568	6023	26475	32852	4368	4156	1749	1673	1743	678	598	3152	1191	2897	2956	4474	8228	1312	405	1448	1598	843	3908	2484	9530	918	945	2420	2963	3041	3124	1502	4832	1526	284	9165	342	3270	4826	1778	2958	8783	5521	18563	7270	1702	574	573	505	16716	7757	24131	8434	10531	709	864	239	22673	11274	34987	6653	3674	1303	1009	223	18201	15547	13070	16429	3487	959	3037	506	6202	27667	12452	7359	9646	743	78024	551	4544	52616	6434	48213	16538	486	37745	687	1908	31869	4860	12024	23424	231	58965	1257	1991	97721	9275	12978	28338	282	92065	1844	32563	4072	33103	13396	31252	1176	58879	6240	47734	7499	16100	30466	28396	1004	34693	3088	14121	10605	21910	36527	12498	1497	106206	2540	10862	10587	15064	63572	18683	1173	97118	5559	5336	15977	4113	15205	27090	843	135445	12536	5160	63463	5401	20730	15389	579	262497	26047	6486	22467	7117	14286	14008	599	98630	16435	6751	20843	8906	8306	54492	687	68659	14754	37	1572
HAMBI-1299	Kluyvera	intermedia	42	1	0	0	0	9056	0	329	29	1	0	0	0	6178	0	326	10	0	0	0	0	5470	0	529	9	7	0	0	0	2596	0	628	5803	6191	2726	2605	2304	73	0	0	0	6	6578	0	24841	150	0	0	0	3	7126	1	21051	110	0	1	1	7	6483	0	14654	174	0	1	0	7	9397	0	9401	170	0	0	2	0	709	1	918	207	0	0	2	0	867	0	424	447	0	0	3	0	1559	0	543	305	0	0	2	0	1258	0	1115	282	0	0	0	0	1272	0	894	140	0	0	0	1	687	0	1455	83	0	0	0	0	292	0	1423	50	0	0	0	0	419	1	2431	0	0	0	0	0	279	0	40	11	0	0	0	0	197	0	10	3	0	0	0	0	360	0	9	2	0	0	0	0	262	0	31	3	0	0	0	0	184	0	253	1	0	0	4	0	163	0	461	3	0	0	7	0	95	0	211	4	0	0	2	0	139	0	253	3	1
HAMBI-1842	Sphingobium	yanoikuyae	0	0	0	0	0	66	0	1	0	0	0	0	0	51	0	0	0	0	0	0	0	20	0	1	0	0	0	0	0	20	0	0	48848	40828	19104	22919	21948	19	2	0	0	0	743	0	566	33	0	0	2	3	906	2	541	50	0	0	0	4	984	1	479	61	0	0	0	6	1066	0	300	9	0	0	0	0	8	0	69	15	0	0	0	0	21	3	35	11	0	0	0	0	41	0	17	2	0	0	0	0	33	0	59	28	0	0	0	0	293	0	107	6	0	0	0	0	146	0	134	1	0	0	0	2	87	7	192	5	0	0	0	0	121	6	269	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	2
